key	en	ar	zh-Hant	zh-CN	nl	de	el	ja	lv	pt	es	th	it
17	Expiration date (YYMMDD)	معرف تاريخ انتهاء الصلاحية YYMMDD	有效期限（年/月/日）(YYMMDD)	有效期（YYMMDD）	Expiratiedatum (JJMMDD)	Verfallsdatum (JJMMTT)	Ημερομηνία Λήξης (ΕΕΜΜΗΗ)	有効期限日（消費期限日）	Derīguma termiņš (GGMMDD)	Data Máxima de Validade (AAMMDD) (consumir até)	Fecha de vencimiento (AAMMDD)	วันที่หมดอายุ (YYMMDD)	Data di scadenza (YYMMDD)
20	Internal product variant	معرف التغير الداخلي للمنتج	內部產品差異性識別碼	内部产品变体	Interne productvariant	Interne Produktvariante	Αριθμός Παραλλαγής Προϊόντος	企業内で使用する商品バリエーション識別番号	Iekšējais produkta variants	Variante interna do Produto	Variante de producto interno	หมายเลขภายในที่ใช้บ่งบอกความแตกต่างของสินค้า	Variante interna di prodotto
21	Serial number	معرف الرقم التسلسلي	序號	系列号	Serienummer	Seriennummer	Σειριακός Αριθμός	シリアル番号	Sērijas numurs	Número de Série	Número de serie	หมายเลขเรียงลำดับสินค้า (Serial number)	Numero di serie
22	Consumer product variant	معرف الاختلاف في المنتج الخاص بالمستهلك	銷售商品差異性識別碼	消费产品变体	Consumentenproductvariant	Verbraucherproduktvariante	Διαφοροποίηση Προϊόντος Από Καταναλωτή	企業間で使用する商品バリエーション識別番号	Patēriņa produkta variants	Variante do Produto de Consumo	Variante de producto de consumo	หมายเลขที่ใช้บ่งบอกความแตกต่างของสินค้าต่อผู้บริโภค	Variante dell’unità consumatore (Consumer product variant)
235	Third Party Controlled, Serialised Extension of Global Trade Item Number (GTIN) (TPX)	معرّف الطرف الثالث المتحكم، إمتداد تسلسلي للرقم العالمي لوحدة المنتج (TPX)	由第三方控制，全球交易品項識別碼 (GTIN) 延伸序號 (TPX)	第三方管理的GTIN序列化扩展 (TPX)	Seriële verlenging van GTIN, beheerd door derden (TPX)	Serielle Erweiterung der GTIN durch Dritte (TPX)	Επεκτεταμένη Σειριακή Αρίθμηση Κωδικού GTIN (TPX), Διαχειριζόμενη Από Τρίτους Φορείς [Αφορά Καπνικά Προϊόντα]	第三者によって管理されているGTINのシリアル番号	Trešās puses kontrolēts serializētais GTVN paplašinājums (TPX)	Extensão serializada do GTIN, controlada por Entidades Terceiras (TPX	Extensión serializada controlada de GTIN de terceros (TPX)	ส่วนขยายของ GTIN ที่ถูกควบคุมและกำหนดโดยบุคคลที่สาม (TPX)	Estensione seriale del GTIN controllata dalla terza parte
240	Additional product identification assigned by the manufacturer	معرف اضافي للمنتج موزع من قبل المصنّع	製造商所指定的附加產品識別碼	生产商分配的附加产品标识	Aanvullende productidentificatie, toegekend door de fabrikant	Zusätzliche Produktidentifikation des Herstellers	Επιπλέον Στοιχεία Αναγνώρισης Προϊόντων, Καθοριζόμενα Από Τον Κατασκευαστή	メーカーによって付番された追加の商品識別番号	Ražotāja piešķirtā vienības papildus identifikācija	Identificação Adicional do Produto Atribuída pelo Fabricante	Identificación de producto adicional asignado por el fabricante	การบ่งชี้ข้อมูลเพิ่มเติมของสินค้าซึ่งกำหนดโดยผู้ผลิต	Numero di identificazione supplementare del prodotto assegnato dal produttore
241	Customer part number	معرف الجزء المخصص لرقم العميل	客戶編號	客户方代码	Artikelnummer klant	Kundenteilenummer	Κωδικός Προϊόντος Καθοριζόμενος Από Τον Πελάτη	顧客製品番号	Klienta numurs	Número de Referência do Cliente	Número de pieza del cliente	หมายเลขชิ้นส่วนสำหรับลูกค้า	Codice prodotto interno del cliente
242	Made-to-Order variation number	رقم الكميات المختلفة المصنعة حسب الطلب	客製化差異號碼	定制产品代码	Made-to-order variatienummer	unternehmensspezifische Variationsnummer	Αριθμός Παραλλαγής Προϊόντος Κατασκευασμένου Επί Παραγγελία	カスタム製品バリエーション番号	Izgatavots pēc pasūtījuma varianta numurs	Número Variável do Pedido sob Encomenda	Número de variación de “mandado a hacer”	หมายเลขในการสั่งผลิตสินค้าตามคำสั่งซื้อ (Made-to-Order)	Numero fornitura su commessa
243	Packaging component number	رقم مكونات التعبئة والتغليف	包裝用零件號碼	包装组件代码	Verpakkingscomponentnummer	Verpackungskomponentennummer	Αριθμός Στοιχείου Συσκευασίας	包装のコンポーネント識別番号	Iepakojuma sastāvdaļu numurs	Número de Componente de Embalagem (PCN)	Número de componente de empaque	หมายเลขส่วนประกอบของบรรจุภัณฑ์	Numero di componente di packaging
250	Secondary serial number	الرقم التسلسلي الثانوي	第二序號	二级系列号	Secundair serienummer	Seriennummer eines integrierten Bauteiles	Δευτερεύων Σειριακός Αριθμός	部品参照番号（二次的なシリアル番号）	Sekundārais sērijas numurs	Número de Série Secundário	Número de serie secundario	หมายเลขเรียงลำดับสินค้าชุดที่ 2	Numero di serie secondario
251	Reference to source entity	رقم مرجعي خاص بمصدر الكيان	資料來源序號	源实体参考代码	Referentie naar bronentiteit	Bezug auf die Ursprungseinheit	Αναφορά Σε Πηγή Προέλευσης - Πρωτογενές Προϊόν	元の商品／原材料参照番号	Atsauce uz vienības izcelsmi	Referência da Entidade de Origem	Referencia a la entidad de origen	การอ้างอิงถึงแหล่งที่มา	Entità di origine (marca auricolare)
253	Global Document Type Identifier (GDTI)	المعرف العالمي الخاص بالمستندات GDTI	全球文件類型識別碼 (GDTI)	全球文件/单证类型代码 (GDTI)	Global Document Type Identifier (GDTI)	Global Document Type Identifier (GDTI)	Διεθνής Κωδικός Αναγνώρισης Εντύπων - Gdti	文書識別番号（GDTI）	Globālais dokumenta tipa identifikators (GDTI)	Identificador Global do Tipo de Documento (GDTI)	Identificador de tipo de documento global (GDTI)	เลขหมายบ่งชี้ชนิดเอกสารสากล (GDTI)	Numero di identificazione del documento (GDTI)
254	Global Location Number (GLN) extension component	معرف مكونات الامتداد الخاص برقم المكان GLN	GLN延伸物件碼 (GLN)	GLN扩展部分代码 (GLN)	GS1 adrescode (GLN) uitbreidingscomponent	Global Location Number (GLN) Erweiterungskomponente	Στοιχείο Επέκτασης GLN	GLN拡張フィールド	Globālā Vietas Numura (GVN) paplašinājuma komponente	Componente de Extensão do Número Global de Localização (GLN)	Componente de extensión del GLN	ส่วนขยายสำหรับเลขหมายบ่งชี้ที่ตั้งสากล (GLN)	Componente di estensione per GLN
255	Global Coupon Number (GCN)	رقم الكوبون العالمي GCN	全球折價券號碼 (GCN)	全球优惠券代码 (GCN)	Global Coupon Number (GCN)	Global Coupon Number (GCN)	Διεθνής Κωδικός Κουπονιού	クーポン識別番号（GCN）	Globālais Kupona Numurs (GCN)	Número Global de Coupon (GCN)	Número de cupón global (GCN)	เลขหมายคูปองสากล (GCN)	Global Coupon Number (GCN)
30	Variable count of items (variable measure trade item)	معرف العدد المتغير للسلع (قياس متغير لوحدة المنتج )	變動型品項數量（變動型交易品項量測單位）	可变数量	Variabele hoeveelheid (artikel met variabele gegevens)	Variable Menge in Stück (Mengenvariable Einheiten)	Πλήθος Περιεχόμενων Μονάδων Εμπορίας (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の数量	Vienību skaits (mainīga daudzuma tirdzniecības vienības)	Contagem de Itens (item de dimensões variáveis)	Conteo variable de artículos (artículo comercial de medidas variables)	จำนวนนับของสินค้า (สินค้าที่มีปริมาณผันแปร)	Numero dei pezzi contenuti (unità commerciale a misura variabile)
310n	Net weight, kilograms (variable measure trade item)	معرف الوزن الصافي، الكيلوجرامات (قياس متغير لوحدة المنتج )	淨重，公斤（變動型交易品項量測單位）	净重，公斤（变量贸易项目）	Nettogewicht, kilogram (artikel met variabele gegevens)	Nettogewicht, Kilogramm (Mengenvariable Einheiten)	Καθαρό Βάρος, Κιλά (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味重量（キログラム）	Neto svars, kilogrami (mainīga daudzuma tirdzniecības vienības)	Peso Líquido em Quilogramas (item de quantidade variável)	Peso neto, kilogramos (artículo comercial de medidas variables)	น้ำหนักสุทธิ, หน่วยกิโลกรัม (สินค้าที่มีปริมาณผันแปร)	Peso netto, chilogrammi (unità commerciale a misura variabile)
311n	Length or first dimension, metres (variable measure trade item)	معرف الطول أو البعد الأول ، أمتار (قياس متغير لوحدة المنتج )	第一維度長度，公尺（變動型交易品項量測單位）	长度或第一尺寸，米（变量贸易项目）	Lengte in meters (artikel met variabele gegevens)	Länge oder 1. Dimension, Meter Handelsinformation (Mengenvariable Einheiten)	Μήκος Ή 1η Διάσταση, Μέτρα (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の長さ, または寸法その１（メートル）	Garums jeb pirmā dimensija, metri (mainīga daudzuma tirdzniecības vienības)	Comprimento ou 1ª Dimensão, Comercial em Metros (item de dimensões variáveis)	Longitud o primera dimensión, metros (artículo comercial de medidas variables)	ความยาว, หน่วยเมตร (สินค้าที่มีปริมาณผันแปร)	Lunghezza o prima dimensione, metri (unità commerciale a misura variabile)
312n	Width, diameter, or second dimension, metres (variable measure trade item)	معرف العرض ، القطر ، أو البعد الثاني ، الأمتار (قياس متغير لوحدة المنتج )	寬度、直徑或第二維度，公尺（變動型交易品項量測單位）	宽度、直径或第二尺寸，米（变量贸易项目）	Breedte of diameter in meters (artikel met variabele gegevens)	Breite, Durchmesser oder 2. Dimension, Meter Handelsinformation (Mengenvariable Einheiten)	Πλάτος, Διάμετρος Ή 2η Διάσταση, Μέτρα (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の幅, 直径, または寸法その2（メートル）	Platums, diametrs vai otrā dimensija, metri (mainīga daudzuma tirdzniecības vienības)	Largura, diâmetro ou 2ª Dimensão, Comercial em Metros (item de dimensões variáveis)	Ancho, diámetro, o segunda dimensión, metros (artículo comercial de medidas variables)	ความกว้าง หรือ เส้นผ่านศูนย์กลาง, หน่วยเมตร (สินค้าที่มีปริมาณผันแปร)	Larghezza o seconda dimensione, metri (unità commerciale a misura variabile)
313n	Depth, thickness, height, or third dimension, metres (variable measure trade item)	معرف العمق، السماكة، الارتفاع، أو البعد الثالث ، أمتار (قياس متغير لوحدة المنتج )	深度、厚度、高度或第三維度，公尺（變動型交易品項量測單位）	深度、厚度、高度或第三尺寸，米（变量贸易项目）	Diepte, dikte of hoogte in meters (artikel met variabele gegevens)	Dicke, Tiefe, Höhe oder 3. Dimension, Meter Handelsinformation (Mengenvariable Einheiten)	Βάθος, Πάχος, Ύψος Ή 3η Διάσταση, Μέτρα (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の深さ, 厚さ, 高さ, または寸法その3（メートル）	Dziļums, biezums, augstums vai trešā dimensija, metri (mainīga daudzuma tirdzniecības vienības)	Profundidade, Espessura, Altura ou 3ª Dimensão, Comercial em Metros (item de dimensões variáveis)	Profundidad, grosor, altura, o tercera dimensión, metros (artículo comercial de medidas variables)	ความลึก ความหนา หรือ ความสูง, หน่วยเมตร (สินค้าที่มีปริมาณผันแปร)	Profondità, spessore, altezza o terza dimensione, metri (unità commerciale a misura variabile)
314n	Area, square metres (variable measure trade item)	معرف المساحة ، متر مربع (قياس متغير لوحدة المنتج )	面積，平方公尺（變動型交易品項量測單位）	面积、平方米（变量贸易项目）	Oppervlakte in vierkante meters (artikel met variabele gegevens)	Fläche, Handelsinformation, Quadratmeter (Mengenvariable Einheiten)	Εμβαδόν, Τετρ. Μέτρα (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の面積（平方メートル）	Virsma, kvadrātmetri (mainīga daudzuma tirdzniecības vienības)	Área, Comercial em Metros Quadrados (item de dimensões variáveis)	Área, metros cuadrados (artículo comercial de medidas variables)	พื้นที่, หน่วยตารางเมตร (สินค้าที่มีปริมาณผันแปร)	Superficie, metri quadrati (unità commerciale a misura variabile)
315n	Net volume, litres (variable measure trade item)	معرف الحجم الصافي ، اللترات (قياس متغير لوحدة المنتج )	凈容積，公升（變動型交易品項量測單位）	净容积，升（变量贸易项目）	Nettovolume in liters (artikel met variabele gegevens)	Nettovolumen, Liter (Mengenvariable Einheiten)	Καθαρός Όγκος, Λίτρα (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味容量（リットル）	Neto tilpums, litri (mainīga daudzuma tirdzniecības vienības)	Volume Líquido em Litros (item de dimensões variáveis)	Volumen neto, litros (artículo comercial de medidas variables)	ปริมาตรสุทธิ, หน่วยลิตร (สินค้าที่มีปริมาณผันแปร)	Volume netto, litri (unità commerciale a misura variabile)
316n	Net volume, cubic metres (variable measure trade item)	معرف الحجم الصافي ، متر مكعب (قياس متغير لوحدة المنتج )	凈容積，立方公尺（變動型交易品項量測單位）	净容积，立方米（变量贸易项目）	Nettovolume in kubieke meters (artikel met variabele gegevens)	Nettovolumen, Kubikmeter (Mengenvariable Einheiten)	Καθαρός Όγκος, Κυβ. Μέτρα (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味体積（立方メートル）	Neto tilpums, kubikmetri (mainīga daudzuma tirdzniecības vienības)	Volume Líquido em Metros Cúbicos (item de dimensões variáveis)	Volumen neto, metros cúbicos (artículo comercial de medidas variables)	ปริมาตรสุทธิ, หน่วยลูกบาศก์เมตร (สินค้าที่มีปริมาณผันแปร)	Volume netto, metri cubi (unità commerciale a misura variabile)
320n	Net weight, pounds (variable measure trade item)	معرف الوزن الصافي ، أرطال (قياس متغير لوحدة المنتج )	凈重，英磅（變動型交易品項量測單位）	净重，磅（变量贸易项目）	Nettogewicht in Engelse ponden (artikel met variabele gegevens)	Nettogewicht, Pfund (Mengenvariable Einheiten)	Καθαρό Βάρος, Λίβρες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味重量（ポンド）	Neto svars, mārciņas (mainīga daudzuma tirdzniecības vienības)	Peso Líquido em Libras (item de dimensões variáveis)	Peso neto, libras (artículo comercial de medidas variables)	น้ำหนักสุทธิ, หน่วยปอนด์ (สินค้าที่มีปริมาณผันแปร)	Peso netto, libbre (unità commerciale a misura variabile)
321n	Length or first dimension, inches (variable measure trade item)	معرف الطول أو البعد الأول ، الانشات (قياس متغير لوحدة المنتج )	第一維度長度，英吋（變動型交易品項量測單位）	长度或第一尺寸，英寸（变量贸易项目）	Lengte in inches (artikel met variabele gegevens)	Länge oder 1. Dimension, Inch, Handelsinformation (Mengenvariable Einheiten)	Μήκος Ή 1η Διάσταση, Ίντσες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の長さ, または寸法その１（インチ）	Garums vai pirmā dimensija, collas (mainīga daudzuma tirdzniecības vienība)	Comprimento ou 1ª Dimensão, Comercial em Polegadas (item de dimensões variáveis)	Longitud o primera dimensión, pulgadas (artículo comercial de medidas variables)	ความยาว, หน่วยนิ้ว (สินค้าที่มีปริมาณผันแปร)	Lunghezza o prima dimensione, pollici (unità commerciale a misura variabile)
322n	Length or first dimension, feet (variable measure trade item)	معرف الطول أو البعد الأول ،القدم (قياس متغير لوحدة المنتج )	第一維度長度，英呎（變動型交易品項量測單位）	长度或第一尺寸，英尺（变量贸易项目）	Lengte in feet (artikel met variabele gegevens)	Länge oder 1. Dimension, Feet, Handelsinformation (Mengenvariable Einheiten)	Μήκος Ή 1η Διάσταση, Πόδια (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の長さ, または寸法その１（フィート）	Garums jeb pirmā dimensija, pēdas (mainīga daudzuma tirdzniecības vienība)	Comprimento ou 1ª Dimensão, Comercial em Pés (item de dimensões variáveis)	Longitud o primera dimensión, pies (artículo comercial de medidas variables)	ความยาว, หน่วยฟุต (สินค้าที่มีปริมาณผันแปร)	Lunghezza o prima dimensione, piedi (unità commerciale a misura variabile)
323n	Length or first dimension, yards (variable measure trade item)	معرف الطول أو البعد الأول ، ياردات (قياس متغير لوحدة المنتج )	第一維度長度，碼（變動型交易品項量測單位）	长度或第一尺寸，码（变量贸易项目）	Lengte in yards (artikel met variabele gegevens)	Länge oder 1. Dimension, Yard, Handelsinformation (Mengenvariable Einheiten)	Μήκος Ή 1η Διάσταση, Γιάρδες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の長さ, または寸法その１（ヤード）	Garums jeb pirmā dimensija, jardi (mainīga daudzuma tirdzniecības vienība)	Comprimento ou 1ª Dimensão, Comercial em Jardas (item de dimensões variáveis)	Longitud o primera dimensión, yardas (artículo comercial de medidas variables)	ความยาว, หน่วยหลา (สินค้าที่มีปริมาณผันแปร)	Lunghezza o prima dimensione, iarde (unità commerciale a misura variabile)
324n	Width, diameter, or second dimension, inches (variable measure trade item)	معرف العرض ، القطر ، أو البعد الثاني ، الانشات (قياس متغير لوحدة المنتج )	寬度、直徑或第二維度，英吋（變動型交易品項量測單位）	宽度、直径或第二尺寸，英寸（变量贸易项目）	Breedte of diameter in inches (artikel met variabele gegevens)	Breite, Durchmesser oder 2. Dimension, Inch, Handelsinformation (Mengenvariable Einheiten)	Πλάτος, Διάμετρος Ή 2η Διάσταση, Ίντσες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の幅, 直径, または寸法その2（インチ）	Platums, diametrs vai otrā dimensija, collas (mainīga daudzuma tirdzniecības vienības)	Largura, Diâmetro ou 2ª Dimensão, Comercial em Polegadas (item de dimensões variáveis)	Ancho, diámetro, o segunda dimensión, pulgadas (artículo comercial de medidas variables)	ความกว้าง หรือ เส้นผ่านศูนย์กลาง, หน่วยนิ้ว (สินค้าที่มีปริมาณผันแปร)	Larghezza o seconda dimensione, pollici (unità commerciale a misura variabile)
325n	Width, diameter, or second dimension, feet (variable measure trade item)	معرف العرض ، القطر ، أو البعد الثاني ، القدم (قياس متغير لوحدة المنتج )	寬度、直徑或第二維度，英呎（變動型交易品項量測單位）	宽度、直径或第二尺寸，英尺（变量贸易项目）	Breedte of diameter in feet (artikel met variabele gegevens)	Breite, Durchmesser oder 2. Dimension, Feet, Handelsinformation (Mengenvariable Einheiten)	Πλάτος, Διάμετρος Ή 2η Διάσταση, Πόδια (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の幅, 直径, または寸法その2（フィート）	Platums, diametrs vai otrā dimensija, pēdas (mainīga daudzuma tirdzniecības vienības)	Largura, Diâmetro ou 2ª Dimensão, Comercial em Pés (item de dimensões variáveis)	Ancho, diámetro, o segunda dimensión, pies (artículo comercial de medidas variables)	ความกว้าง หรือ เส้นผ่านศูนย์กลาง, หน่วยฟุต (สินค้าที่มีปริมาณผันแปร)	Larghezza o seconda dimensione, piedi (unità commerciale a misura variabile)
326n	Width, diameter, or second dimension, yards (variable measure trade item)	معرف العرض ، القطر ، أو البعد الثاني ، ياردات (قياس متغير لوحدة المنتج )	寬度、直徑或第二維度，碼（變動型交易品項量測單位）	宽度、直径或第二尺寸，码（变量贸易项目）	Breedte of diameter in yards (artikel met variabele gegevens)	Breite, Durchmesser oder 2. Dimension, Yard, Handelsinformation (Mengenvariable Einheiten)	Πλάτος, Διάμετρος Ή 2η Διάσταση, Γιάρδες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の幅, 直径, または寸法その2（ヤード）	Platums, diametrs vai otrā dimensija, jardi (mainīga daudzuma tirdzniecības vienības)	Largura, Diâmetro ou 2ª Dimensão, Comercial em Jardas (item de dimensões variáveis)	Ancho, diámetro, o segunda dimensión, yardas (artículo comercial de medidas variables)	ความกว้าง หรือ เส้นผ่านศูนย์กลาง, หน่วยหลา (สินค้าที่มีปริมาณผันแปร)	Larghezza o seconda dimensione, iarde (unità commerciale a misura variabile)
327n	Depth, thickness, height, or third dimension, inches (variable measure trade item)	معرف العمق أو السماكة أو الارتفاع أو البعد الثالث ، الانشات (قياس متغير لوحدة المنتج )	深度、厚度、高度或第三維度，英吋（變動型交易品項量測單位）	深度、厚度、高度或第三尺寸，英寸（变量贸易项目）	Diepte, dikte of hoogte in inches (artikel met variabele gegevens)	Tiefe, Dicke, Höhe oder 3. Dimension, Inch, Handelsinformation (Mengenvariable Einheiten)	Βάθος, Πάχος, Ύψος Ή 3η Διάσταση, Ίντσες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の深さ, 厚さ, 高さ, または寸法その3（インチ）	Dziļums, biezums, augstums vai trešā dimensija, collas (mainīga daudzuma tirdzniecības vienības)	Profundidade, Espessura, Altura ou 3ª Dimensão, Comercial em Polegadas (item de dimensões variáveis)	Profundidad, grosor, altura, o tercera dimensión, pulgadas (artículo comercial de medidas variables)	ความลึก ความหนา หรือ ความสูง, หน่วยนิ้ว (สินค้าที่มีปริมาณผันแปร)	Profondità, spessore, altezza o terza dimensione, pollici (unità commerciale a misura variabile)
328n	Depth, thickness, height, or third dimension, feet (variable measure trade item)	معرف العمق أو السماكة أو الارتفاع أو البعد الثالث ،القدم (قياس متغير لوحدة المنتج )	深度、厚度、高度或第三維度，英呎（變動型交易品項量測單位）	深度、厚度、高度或第三尺寸，英尺（变量贸易项目）	Diepte, dikte of hoogte in feet (artikel met variabele gegevens)	Tiefe, Dicke, Höhe oder 3. Dimension, Feet, Handelsinformation (Mengenvariable Einheiten)	Βάθος, Πάχος, Ύψος Ή 3η Διάσταση, Πόδια (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の深さ, 厚さ, 高さ, または寸法その3（フィート）	Dziļums, biezums, augstums vai trešā dimensija, pēdas (mainīga daudzuma tirdzniecības vienības)	Profundidade, Espessura, Altura ou 3ª Dimensão, Comercial em Pés (item de dimensões variáveis)	Profundidad, grosor, altura o tercera dimensión, pies (artículo comercial de medidas variables)	ความลึก ความหนา หรือ ความสูง, หน่วยฟุต (สินค้าที่มีปริมาณผันแปร)	Profondità, spessore altezza o terza dimensione, piedi (unità commerciale a misura variabile)
